fold,pair,pair_status,pair_passes_all,model,validation_f1,test_auc,test_f1,pnl,sharpe,max_drawdown,trades,win_rate,baseline_pnl,baseline_sharpe,pnl_minus_baseline,profitable,passed_and_profitable,gru_epochs,gru_sequence_length
1,CVX-XOM,passed_all,True,logistic_regression,0.3541666666666667,0.6350540216086434,0.5106382978723404,-0.08030314195363285,-0.8681091964251328,-0.16401430250007892,8,0.625,-0.1802086534666486,-1.4135104376895813,0.09990551151301576,False,False,,
1,CVX-XOM,passed_all,True,random_forest,0.4166666666666667,0.695078031212485,0.4666666666666667,0.047781080810898394,0.7340493538528805,-0.07925910739288136,4,0.75,-0.1802086534666486,-1.4135104376895813,0.22798973427754698,True,True,,
1,CVX-XOM,passed_all,True,gradient_boosting,0.6046511627906976,0.6206482593037215,0.36363636363636365,-0.0008354671134282142,-0.01044176711290203,-0.08072043281876404,6,0.5,-0.1802086534666486,-1.4135104376895813,0.1793731863532204,False,False,,
1,CVX-XOM,passed_all,True,deep_mlp,0.3950617283950617,0.6842737094837935,0.27586206896551724,0.010306835729679834,0.13681664818561132,-0.05859577711256682,5,0.6,-0.1802086534666486,-1.4135104376895813,0.19051548919632844,True,True,,
1,CVX-XOM,passed_all,True,gru,0.3541666666666667,0.33133253301320525,0.40963855421686746,-0.1802086534666486,-1.4135104376895813,-0.2438669260127023,17,0.47058823529411764,-0.1802086534666486,-1.4135104376895813,0.0,False,False,1.0,20.0
2,CVX-XOM,passed_all,True,logistic_regression,0.39344262295081966,0.13267543859649122,0.3595505617977528,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,,
2,CVX-XOM,passed_all,True,random_forest,0.45,0.24890350877192985,0.3023255813953488,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,,
2,CVX-XOM,passed_all,True,gradient_boosting,0.3404255319148936,0.18859649122807018,0.2222222222222222,0.10285761142862247,0.9405563519907564,-0.05502740241398918,11,0.5454545454545454,0.10072395907143523,0.9013905839658117,0.002133652357187238,True,True,,
2,CVX-XOM,passed_all,True,deep_mlp,0.32432432432432434,0.12171052631578949,0.14285714285714285,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,,
2,CVX-XOM,passed_all,True,gru,0.5581395348837209,0.1754385964912281,0.3218390804597701,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,8.0,20.0
3,KO-PEP,provisional,False,logistic_regression,0.41379310344827586,0.4731800766283525,0.5225225225225225,-0.0611619661151878,-0.6384588634191968,-0.1366926913799188,11,0.45454545454545453,-0.0611619661151878,-0.6384588634191968,0.0,False,False,,
3,KO-PEP,provisional,False,random_forest,0.37362637362637363,0.30140485312899107,0.5272727272727272,-0.0611619661151878,-0.6384588634191968,-0.1366926913799188,11,0.45454545454545453,-0.0611619661151878,-0.6384588634191968,0.0,False,False,,
3,KO-PEP,provisional,False,gradient_boosting,0.2857142857142857,0.3563218390804598,0.3902439024390244,-0.030681692850365216,-0.3343391323566567,-0.14178988285068467,8,0.5,-0.0611619661151878,-0.6384588634191968,0.030480273264822586,False,False,,
3,KO-PEP,provisional,False,deep_mlp,0.3728813559322034,0.4450830140485313,0.4,-0.00385426457496341,-0.04185560481285334,-0.08413846564118259,11,0.5454545454545454,-0.0611619661151878,-0.6384588634191968,0.057307701540224396,False,False,,
3,KO-PEP,provisional,False,gru,0.463768115942029,0.47349936143039595,0.45161290322580644,-0.007930501305145391,-0.09143873979244098,-0.10585023577503422,10,0.4,-0.0611619661151878,-0.6384588634191968,0.053231464810042414,False,False,11.0,20.0
